
MAME GP2X GAMELIST (1128 romsets)

Name      Description
sbagmans  "Super Bagman (Stern)"
sbasketb  "Super Basketball"
sboblbob  "Super Bobble Bobble"
sbrkout   "Super Breakout"
schaser   "Space Chaser"
scion     "Scion"
scionc    "Scion (Cinematronics)"
scobra    "Super Cobra (Stern)"
scobrab   "Super Cobra (bootleg)"
scobrak   "Super Cobra (Konami)"
scramble  "Scramble"
scregg    "Scrambled Egg"
sdi       "SDI"
sdungeon  "Space Dungeon"
seawolf   "Sea Wolf"
seawolf2  "Sea Wolf II"
sectionz  "Section Z"
seganinj  "Sega Ninja"
seganinu  "Sega Ninja (not encrypted)"
seicross  "Seicross"
sengoku   "Sengoku"
sengoku2  "Sengoku 2"
sf1       "Street Fighter (World)"
sf1jp     "Street Fighter (Japan)"
sf1us     "Street Fighter (US)"
sf2       "Street Fighter 2 (World)"
sf2a      "Street Fighter II (US rev A)"
sf2b      "Street Fighter II (US rev B)"
sf2ce     "Street Fighter II' - Champion Edition (World)"
sf2cej    "Street Fighter II - Champion Edition (Japan)"
sf2e      "Street Fighter II (US rev E)"
sf2j      "Street Fighter 2 (Japan)"
sf2t      "Street Fighter II' - Hyper Fighting (US)"
sf2tj     "Street Fighter II Turbo (Japan)"
sfeverbw  "Space Fever (B&W)"
sfposeid  "Sea Fighter Poseidon"
shackled  "Shackled"
shadoww   "Shadow Warriors"
shaolins  "Shao-Lin's Road"
sharkatt  "Shark Attack"
shimpact  "Super High Impact (rev LA1 09/30/91)"
shinobi   "Shinobi"
shisen    "Shisensho - Joshiryo-Hen (Japan)"
shocktro  "Shock Troopers"
shollow   "Satan's Hollow"
shootout  "Shoot Out"
sichuan2  "Sichuan II (hack?)"
sidearjp  "Sidearms (Japan)"
sidearmr  "Sidearms (US)"
sidearms  "Sidearms (World)"
sidepckt  "Side Pocket"
sidetrac  "Side Track"
sidkicks  "Super Sidekicks"
silkworm  "Silkworm (set 1)"
silkwrm2  "Silkworm (set 2)"
silvland  "Silver Land"
sinista1  "Sinistar (prototype version)"
sinista2  "Sinistar (revision 2)"
sinistar  "Sinistar (revision 3)"
sinvemag  "Super Invaders"
slammast  "Slam Masters (World)"
slapbtjp  "Slap Fight (Japanese bootleg)"
slapbtuk  "Slap Fight (English bootleg)"
slapfigh  "Slap Fight"
slyspy    "Sly Spy (revision 3)"
slyspy2   "Sly Spy (revision 2)"
smashtv   "Smash TV (rev 8.00)"
smashtv5  "Smash TV (rev 5.00)"
snapjack  "Snap Jack"
snowbro2  "Snow Bros (set 2)"
snowbros  "Snow Bros (set 1)"
socbrawl  "Soccer Brawl"
solarfox  "Solar Fox"
solarwar  "Solar Warrior"
solomon   "Solomon's Key (Japan)"
sonicwi2  "Aero Fighters 2 / Sonic Wings 2"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
sonson    "Son Son"
spacduel  "Space Duel"
spaceatt  "Space Attack II"
spacefb   "Space Firebird"
spacefev  "Space Fever"
spaceod   "Space Odyssey"
spaceph   "Space Phantoms"
spaceplt  "Space Pilot"
spaceskr  "Space Seeker"
spacetrk  "Space Trek (Upright)"
spacezap  "Space Zap"
spacfura  "Space Fury (revision A)"
spacfury  "Space Fury (revision C)"
spang     "Super Pang (World)"
spcenctr  "Space Encounters"
speakres  "Speak & Rescue"
spectar   "Spectar (revision 3)"
spectar1  "Spectar (revision 1?)"
speedbal  "Speed Ball"
spelunk2  "Spelunker II"
spiders   "Spiders"
spiero    "Super Pierrot (Japan)"
spinmast  "Spinmaster / Miracle Adventure"
splat     "Splat"
spnchout  "Super Punch Out"
sprint1   "Sprint 1"
sprint2   "Sprint 2"
sptrekct  "Space Trek (Cocktail)"
spyhunt   "Spy Hunter"
sqbert    "FHMC Q*Bert"
sqixbl    "Super Qix (bootleg)"
srdarwin  "Super Real Darwin"
srumbler  "Speed Rumbler (set 1)"
srumblr2  "Speed Rumbler (set 2)"
ssi       "Super Space Invaders '91"
ssideki2  "Super Sidekicks 2"
sskick3   "Super Sidekicks 3 - The Next Glory"
sspaceat  "Sega Space Attack"
ssprint   "Super Sprint"
stactics  "Space Tactics"
stakwin   "Stakes Winner"
starfire  "Starfire"
starforc  "Star Force"
stargate  "Stargate"
starjack  "Star Jacker (Sega)"
starjacs  "Star Jacker (Stern)"
startrek  "Star Trek"
starwars  "Star Wars"
stinger   "Stinger"
stratgyb  "Strong X"
stratgyx  "Strategy X"
stratvox  "Stratovox"
strhoops  "Street Hoop / Street Slam / Dunk Dream"
strider   "Strider (US)"
striderj  "Strider (Japan)"
strkforc  "Strike Force (rev 1 02/25/91)"
subs      "Subs"
sucasino  "Super Casino"
superbon  "Super Bond"
superg    "Super Galaxians"
superman  "Superman"
superpac  "Super Pac-Man (Midway)"
superpcn  "Super Pac-Man (Namco)"
superqix  "Super Qix"
superspy  "Super Spy"
suprmatk  "Super Missile Attack"
suprmous  "Super Mouse"
sutapper  "Tapper (Suntory)"
swat      "SWAT"
swimmer   "Swimmer (set 1)"
swimmera  "Swimmer (set 2)"
sxevious  "Super Xevious"
szaxxon   "Super Zaxxon"
tacscan   "Tac/Scan"
tagteam   "Tag Team Wrestling"
tankbatt  "Tank Battalion"
tapper    "Tapper (Budweiser)"
targ      "Targ"
tazmania  "Tazz-Mania"
tdfever   "TouchDown Fever"
tdfeverj  "TouchDown Fever (Japanese)"
teddybb   "TeddyBoy Blues"
teedoff   "Tee'd Off"
tehkanwc  "Tehkan World Cup"
tempest   "Tempest (rev 3)"
tempest1  "Tempest (rev 1)"
tempest2  "Tempest (rev 2)"
temptube  "Tempest Tubes"
term2     "Terminator 2 (rev LA3 03/27/92)"
terracra  "Terra Cresta (YM2203)"
terracre  "Terra Cresta (YM3526)"
tetrisbl  "Tetris (Sega bootleg)"
theend    "The End"
theglob   "The Glob (Pac Man hardware)"
thepit    "The Pit"
tigerh    "Tiger Heli (set 1)"
tigerh2   "Tiger Heli (set 2)"
tigerhb1  "Tiger Heli (bootleg 1)"
tigerhb2  "Tiger Heli (bootleg 2)"
tigeroad  "Tiger Road"
timber    "Timber"
timeplt   "Time Pilot"
timepltc  "Time Pilot (Centuri)"
timetunl  "Time Tunnel"
timscanr  "Time Scanner"
tinstar   "The Tin Star"
tiptop    "Tip Top"
tknight   "Tecmo Knight"
tmht2p    "TMHT (2 Players UK)"
tmnt      "TMNT (4 Players USA)"
tmnt2pj   "TMNT (2 Players Japanese)"
tmntj     "TMNT (4 Players Japanese)"
tnk3      "TNK3"
tnzs      "The New Zealand Story"
tnzs2     "The New Zealand Story 2"
todruaga  "Tower of Druaga"
toki      "Toki (bootleg)"
tokio     "Tokio / Scramble Formation"
tokiob    "Tokio / Scramble Formation (bootleg)"
tokisens  "Toki no Senshi"
tomahaw5  "Tomahawk 777 (Revision 5)"
tomahawk  "Tomahawk 777 (Revision 1)"
toobin    "Toobin'"
topgunbl  "Top Gunner (bootleg)"
topgunr   "Top Gunner"
tophuntr  "Top Hunter"
tornbase  "Tornado Baseball"
totcarn   "Total Carnage (rev LA1 03/10/92)"
totcarnp  "Total Carnage (prototype, rev 1.0 01/25/92)"
tp84      "Time Pilot 84 (set 1)"
tp84a     "Time Pilot 84 (set 2)"
tpgolf    "Top Player's Golf"
trackflc  "Track & Field (Centuri)"
trackfld  "Track & Field"
trally    "Thrash Rally"
tranqgun  "Tranquilizer Gun"
travrusa  "Traverse USA"
treahunt  "Treasure Hunt"
triplep   "Triple Punch"
trog      "Trog (rev LA4 03/11/91)"
trog3     "Trog (rev LA3 02/14/91)"
trogp     "Trog (prototype, rev 4.00 07/27/90)"
trojan    "Trojan (US)"
trojanj   "Trojan (Japan)"
tron      "Tron (set 1)"
tron2     "Tron (set 2)"
truxton   "Truxton / Tatsujin"
tturfbl   "Tough Turf (bootleg)"
tumblep   "Tumble Pop (bootleg set 1)"
tumblep2  "Tumble Pop (bootleg set 2)"
turbo     "Turbo"
turboa    "Turbo (encrypted set 1)"
turbob    "Turbo (encrypted set 2)"
turbofrc  "Turbo Force"
turfmast  "Neo Turf Masters / Big Tournament Golf"
turpin    "Turpin"
turtles   "Turtles"
tutankhm  "Tutankham (Konami)"
tutankst  "Tutankham (Stern)"
twinbee   "TwinBee"
twincobr  "Twin Cobra (Taito)"
twincobu  "Twin Cobra (Romstar)"
twinspri  "Twinkle Star Sprites"
twotiger  "Two Tigers"
tws96     "Tecmo World Soccer 96"
ufosensi  "Ufo Senshi Yohko Chan"
uniwars   "Uniwars"
unsquad   "UN Squadron"
upndown   "Up'n Down"
usvsthem  "Us vs. Them"
vangrdce  "Vanguard (Centuri)"
vanguard  "Vanguard (SNK)"
varth     "Varth (World)"
varthj    "Varth (Japan)"
vastar    "Vastar (set 1)"
vastar2   "Vastar (set 2)"
venture   "Venture (set 1)"
venture2  "Venture (set 2)"
venture4  "Venture (version 4)"
venus     "Venus"
victroad  "Victory Road"
viewpoin  "Viewpoint"
vigilant  "Vigilante (US)"
vigilntj  "Vigilante (Japan)"
vimana    "Vimana (set 1)"
vimana2   "Vimana (set 2)"
vindictr  "Vindicators"
vsyard    "10 Yard Fight (Vs. version)"
vulgus    "Vulgus (set 1)"
vulgus2   "Vulgus (set 2)"
wacko     "Wacko"
wakuwak7  "Waku Waku 7"
warlord   "Warlords"
warofbug  "War of the Bugs"
warpwar2  "Warp Warp (set 2)"
warpwarp  "Warp Warp (set 1)"
waterski  "Water Ski"
wb3bl     "Wonder Boy Monster Lair (bootleg)"
wbdeluxe  "Wonder Boy Deluxe"
wbml      "Wonder Boy in Monster Land"
wboy      "Wonder Boy (set 1)"
wboy2     "Wonder Boy (set 2)"
wboy3     "Wonder Boy (set 3)"
wboy4     "Wonder Boy (set 4)"
wboy4u    "Wonder Boy (set 4 not encrypted)"
wboyu     "Wonder Boy (not encrypted)"
wc90      "World Cup 90"
wc90b     "World Cup 90 (bootleg)"
wexpresb  "Western Express (bootleg)"
wexpress  "Western Express"
wheroes   "World Heroes"
whp       "World Heroes Perfect"
willow    "Willow (Japan, English)"
willowj   "Willow (Japan, Japanese)"
wiz       "Wiz"
wjammers  "Wind Jammers / Flying Power Disc"
wof       "Warriors of Fate (World)"
wofj      "Tenchi o Kurau 2 (Japan)"
worlhe2j  "World Heroes 2 Jet"
worlher2  "World Heroes 2"
wow       "Wizard of Wor"
wrestwar  "Wrestle War"
wwestern  "Wild Western"
xenophob  "Xenophobe"
xevios    "Xevios"
xevious   "Xevious (Namco)"
xeviousa  "Xevious (Atari)"
xsleena   "Xain'd Sleena"
xybots    "Xybots"
yankeedo  "Yankee DO! (Two Bit Score)"
yard      "10 Yard Fight"
yiear     "Yie Ar Kung Fu"
zarzon    "Zarzon"
zaxxon    "Zaxxon"
zedblade  "Zed Blade / Operation Ragnarok"
zektor    "Zektor"
zerowing  "Zero Wing"
zerozone  "Zero Zone"
zigzag    "Zig Zag (set 1)"
zigzag2   "Zig Zag (set 2)"
zoar      "Zoar"
zookeep   "Zoo Keeper (set 1)"
zookeepa  "Zoo Keeper (set 2)"
zzyzzyxx  "Zzyzzyxx"
